Keyword	RepoPath	FilePath	RepoName	CommitID	JavaCount	XmlCount
ClassPathXmlApplicationContext	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\DevStarter	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\DevStarter\src\main\java\isep\rose\devstarter\web\UserController.java	DevStarter	889d8a7e6109dac2e372c4208d2630988e629edf	18	24
.getBean(	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\kuali_rice	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\kuali_rice\rice-framework\krad-it\src\test\java\org\kuali\rice\krad\service\impl\DictionaryValidationServiceImplTest.java	kuali_rice	248213b6e0bc22347df17d927fa8d25861b491c3	5298	3369
ClassPathXmlApplicationContext	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\kuali_rice	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\kuali_rice\rice-framework\krad-it\src\test\java\org\kuali\rice\krad\service\impl\DictionaryValidationServiceImplTest.java	kuali_rice	248213b6e0bc22347df17d927fa8d25861b491c3	5298	3369
.getBean(	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\geomajas-project-client-gwt	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\geomajas-project-client-gwt\client\src\test\java\org\geomajas\gwt\client\spatial\snapping\SnappingModeTest.java	geomajas-project-client-gwt	803c64c9b7eb9fd403e699957633c6a43a9a9a21	1068	612
ClassPathXmlApplicationContext	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\geomajas-project-client-gwt	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\geomajas-project-client-gwt\client\src\test\java\org\geomajas\gwt\client\spatial\snapping\SnappingModeTest.java	geomajas-project-client-gwt	803c64c9b7eb9fd403e699957633c6a43a9a9a21	1068	612
.getBean(	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\addressbook-sample-mongodb	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\addressbook-sample-mongodb\web-ui\src\main\java\nl\enovation\addressbook\cqrs\webui\init\RunDBInitializerWhenNeeded.java	addressbook-sample-mongodb	c5d0967f6c141d8d57633c537541266564cebd57	38	10
.getBean(	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\dbs-reports	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\dbs-reports\app\src\main\java\pl\com\dbs\reports\support\listener\ApplicationEventsListener.java	dbs-reports	41f172d1615fe3fa14efaa5569e86882e3025743	323	33
</bean>	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\cheetah	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\cheetah\acceptanceTests\src\test\resources\test-context.xml	cheetah	e35174210b5ceddbd8cf86a0cc7a9975a452478d	185	64
<property	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\cheetah	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\cheetah\acceptanceTests\pom.xml	cheetah	e35174210b5ceddbd8cf86a0cc7a9975a452478d	185	64
constructor-arg	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\cheetah	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\cheetah\acceptanceTests\src\test\resources\ui-test-context.xml	cheetah	e35174210b5ceddbd8cf86a0cc7a9975a452478d	185	64
</bean>	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\Play2V2	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\Play2V2\ProjectBack\src\main\resources\application-context.xml	Play2V2	c7b28788431aa332c30dac103e98074f01ddddf0	20	10
<property	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\Play2V2	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\Play2V2\ProjectBack\src\main\resources\application-context.xml	Play2V2	c7b28788431aa332c30dac103e98074f01ddddf0	20	10
</bean>	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\ohtu-bibtex	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\ohtu-bibtex\src\main\webapp\WEB-INF\spring-context.xml	ohtu-bibtex	26a5fba5a36ddce396066661a61462cc63be3c10	8	6
<property	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\ohtu-bibtex	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\ohtu-bibtex\src\main\resources\persistence.xml	ohtu-bibtex	26a5fba5a36ddce396066661a61462cc63be3c10	8	6
</bean>	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\basis-webapp-sample	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\basis-webapp-sample\src\main\webapp\WEB-INF\spring\servlet-context.xml	basis-webapp-sample	f5d0fe13594b10bd6f20f5b0d7b0c9d409993f9d	3	4
<property	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\basis-webapp-sample	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\basis-webapp-sample\src\main\webapp\WEB-INF\spring\servlet-context.xml	basis-webapp-sample	f5d0fe13594b10bd6f20f5b0d7b0c9d409993f9d	3	4
</bean>	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\spring-ws	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\spring-ws\eclipselinkweb\src\test\resources\META-INF\spring\orm-context-test.xml	spring-ws	95da79dc4240309d0b73224b1f7883f51e383e6d	22	29
<property	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\spring-ws	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\spring-ws\eclipselinkweb\src\main\resources\META-INF\persistence.xml	spring-ws	95da79dc4240309d0b73224b1f7883f51e383e6d	22	29
constructor-arg	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\spring-ws	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\spring-ws\SpringWebApp\src\main\resources\META-INF\spring\orm-context.xml	spring-ws	95da79dc4240309d0b73224b1f7883f51e383e6d	22	29
-method=	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\spring-ws	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\spring-ws\SpringWebApp\src\main\resources\META-INF\spring\orm-context.xml	spring-ws	95da79dc4240309d0b73224b1f7883f51e383e6d	22	29
</bean>	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\evernavigator	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\evernavigator\src\main\webapp\WEB-INF\spring\appServlet\servlet-context.xml	evernavigator	4f1f8f8dc6406157ebae69e5507434f364ae52f7	12	7
-method=	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\evernavigator	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\evernavigator\src\main\webapp\WEB-INF\spring\appServlet\servlet-context.xml	evernavigator	4f1f8f8dc6406157ebae69e5507434f364ae52f7	12	7
</bean>	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\fog	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\fog\src\main\resources\META-INF\context.xml	fog	ac5e9d7be815c3d514d4e6bfb0548bf13fc073b0	3	7
<property	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\bsb	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\bsb\bsb-app\ejb\src\main\resources\META-INF\persistence.xml	bsb	22a8c917e01d243d9ab8c75d0050dc33e3cebcaa	15	8
<property	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\jpa-tutorials	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\jpa-tutorials\client-invoicing-domain\src\main\resources\META-INF\persistence.xml	jpa-tutorials	6d2ece09df76573494895c20691b3d0250c4042a	25	8
<property	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\325Group	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\325Group\src\main\resources\hibernate.cfg.xml	325Group	5e0172ee363f013bc0196d9a9ca5628d01e70302	6	8
<property	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\kie-wb-distributions	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\kie-wb-distributions\kie-drools-wb\kie-drools-wb-webapp\pom.xml	kie-wb-distributions	a9ede9f0b4ac4380fec457316a216ab877a4818b	21	41
constructor-arg	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\fcrepo-cloudsync	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\fcrepo-cloudsync\fcrepo-cloudsync-service\src\main\webapp\WEB-INF\rest-api.xml	fcrepo-cloudsync	bec12915f7898101646a7819662f6c0b2953191a	49	12
-method=	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\fcrepo-cloudsync	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\fcrepo-cloudsync\fcrepo-cloudsync-service\src\main\webapp\WEB-INF\svc-impl.xml	fcrepo-cloudsync	bec12915f7898101646a7819662f6c0b2953191a	49	12
constructor-arg	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\wl-oauth	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\wl-oauth\pack\src\main\webapp\WEB-INF\components.xml	wl-oauth	1c1e65320e7e877c13d1f36e643f68c03d6b8a0b	29	17
constructor-arg	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\de-webapp	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\de-webapp\src\main\resources\de-base.xml	de-webapp	897b2c029b305f756affe394b9bb3c96b02786a9	277	11
constructor-arg	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\empaques	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\empaques\src\main\resources\META-INF\spring\applicationContext-mongo.xml	empaques	04bc1ef8734b3c750f0760d6fce7788d1f27bd24	55	20
constructor-arg	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\fcrepo4	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\fcrepo4\fcrepo-dc\src\test\resources\spring-test\repo.xml	fcrepo4	da164a1b994a0c917e99d54682536e95105ae165	75	109
constructor-arg	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\epm-trn	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\epm-trn\src\main\webapp\WEB-INF\spring\data.xml	epm-trn	0063f0aceb473886d78d4d5f4358e17cecf2aee2	19	17
-method=	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\easyFuse	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\easyFuse\src\main\resources\config\applicationContext-dao.xml	easyFuse	f5b4e6ede559d87128d0be36cc450e19e51fa9c4	18	26
-method=	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\FinalJWR	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\FinalJWR\src\main\setup\glassfish-resources.xml	FinalJWR	cd20b1691b67817f83d44523c4dfbf9d1311614c	5	10
-method=	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\datacart	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\datacart\model\src\main\resources\applicationContext-dao.xml	datacart	cab15c7b2fd4f4dc80fc25e8dfa86b01da560f56	37	7
-method=	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\Microblog	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\Microblog\Microblog\src\main\webapp\WEB-INF\hibernate-context.xml	Microblog	a1925d213e7235ba5346a1749872f2c8884cb643	24	12
ClassPathXmlApplicationContext	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\groepI	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\groepI\src\main\java\be\kdg\groepi\service\TripInstanceService.java	groepI	5f6d7ae4855d61cb34dadc1f70eb37b8e67d64ea	110	104
ClassPathXmlApplicationContext	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\camel-cookbook-examples	D:\Mahir\detecting-metadata-bugs\dataset\all_projects\camel-cookbook-examples\01-structuring-routes\src\main\java\org\camelcookbook\structuringroutes\simplespring\SpringCamelApplication.java	camel-cookbook-examples	28885d743efcf0ff6598fea5aafa3078d12a2497	543	185
